ja_tsv	zhCN_tsv	confidence	state	charaNo	messageId	message_scope	cn_keys	contains_at_marker	requires_runtime_capture
“乙女”か…タルトはすごい人気ね	「圣女」……塔鲁特她真是受人欢迎啊。	key_aligned	new	4022	11	character_profile_or_lobby	vo_char_4022_00_11_hca	False	True
…あの、私…強いんですか？	……那个，我……很强吗？	key_aligned	new	1004	46	battle_result	vo_char_1004_00_46_hca	False	False
…あの頃は…地獄が永遠に続くと思ってた…	…那时候…还以为地狱会永久持续下去…	key_aligned	new	1023	8	character_profile_or_lobby	vo_char_1023_00_08_hca	False	True
…うぅ、ドジしたいわけじゃないもん…	……呜呜，我也不想这么笨手笨脚的啊……	key_aligned	new	1030	8	character_profile_or_lobby	vo_char_1030_00_08_hca	False	True
…うん、もう敵の気配はないね、@お疲れ様！	……嗯，已经没有敌人的气息了呢。辛苦了！	key_aligned	new	4032	45	battle_result	vo_char_4032_00_45_hca	True	True
…さよなら	永别了。	key_aligned	new	4031	43	battle_result	vo_char_4031_00_43_hca	False	False
…それも全ては私の力不足のせいです…	这全是我实力不够的错……	key_aligned	new	4021	10	character_profile_or_lobby	vo_char_4021_00_10_hca	False	True
…ちょっと素直すぎませんこと	……你是不是单纯过头了？	key_aligned	new	4026	9	character_profile_or_lobby	vo_char_4026_00_09_hca	False	True
…なんで、あたしたちなのかな？	……为什么是我们啊？	key_aligned	new	2004	10	character_profile_or_lobby	vo_char_2004_00_10_hca	False	True
…はっ！また妄想を…	…はっ！また妄想を…	key_aligned	new	3056	11	character_profile_or_lobby	vo_char_3056_00_11_hca	False	True
…まぁ、いっか。タダ飯なら頂くよ	唔，好吧。\n既然是免费的一餐饭，那我就接受了。	key_aligned	new	2006	8	character_profile_or_lobby	vo_char_2006_00_08_hca	False	True
…もう誰にも頼らない	……我已经不会再依赖任何人。	key_aligned	new	2002	9	character_profile_or_lobby	vo_char_2002_00_9_hca	False	True
…人間、浮くようにできてないんだよ	……人，并不是天生就能浮起来的啊！	key_aligned	new	2600	10	character_profile_or_lobby	vo_char_2600_00_10_hca	False	True
…教訓は得られたかな？	…吸取了教训了吗？	key_aligned	new	3038	43	battle_result	vo_char_3038_00_43_hca	False	False
…私ね、未来から来たんだよ	……我，是从未来而来的。	key_aligned	new	2002	11	character_profile_or_lobby	vo_char_2002_00_11_hca	False	True
「いま、私たちの息が…！」@『うん！ぴったりだった！』	刚才，我们的步调……嗯！完全一致！	key_aligned	new	3501	46	battle_result	vo_char_3501_00_46_hca	True	True
「ビッグウェーブに乗れたね！」@『ねー！』	乘上大浪了呢！\n对吧——	key_aligned	new	1118	45	battle_result	vo_char_1118_00_45_hca	True	True
「ワー、イイ天気ダナ」…セリフ読み苦手…	“哇，天气真好”……我不擅长念台词啊……	key_aligned	new	1030	11	character_profile_or_lobby	vo_char_1030_00_11_hca	False	True
『大丈夫!?』@「うん…ありがとう…」	没事吧？嗯……谢谢……	key_aligned	new	3501	45	battle_result	vo_char_3501_00_45_hca	True	True
『私たちの勝ちにございます』@「ねー！」	这是我们的胜利。\n对吧——	key_aligned	new	1118	46	battle_result	vo_char_1118_00_46_hca	True	True
あ…！こっち！魔女を感じる！	啊……！这边！我感觉到魔女了！	key_aligned	new	4011	12	character_profile_or_lobby	vo_char_4011_00_12_hca	False	True
あ、いえ、そんな、私なんかお構いなく…	啊，不是，那个，不用在意我……	key_aligned	new	1004	8	character_profile_or_lobby	vo_char_1004_00_08_hca	False	True
あ、一円見っけ！いえい！	啊，发现一块钱！耶！	key_aligned	new	3020	8	character_profile_or_lobby	vo_char_3020_00_08_hca	False	True
あ、忘れ物しちゃいました…	啊，我有东西落下了……	key_aligned	new	3032	9	character_profile_or_lobby	vo_char_3032_00_09_hca	False	True
あ、急がないと！@お手伝いの時間なのに！	啊，得赶紧了！都到了该去帮忙的时间了！	key_aligned	new	1027	46	battle_result	vo_char_1027_00_46_hca	True	True
あぁ…いやな予感がしてきました…	啊……有种不好的预感……	key_aligned	new	3017	8	character_profile_or_lobby	vo_char_3017_00_08_hca	False	True
あぁ…これこそが本当の愛ってやつだね…！	啊……这才是真正的爱吧……！	key_aligned	new	4002	12	character_profile_or_lobby	vo_char_4002_00_12_hca	False	True
ああ、鶴乃ちゃん！手を握ってて～！	啊，鹤乃！握住我的手！	key_aligned	new	1101	11	character_profile_or_lobby	vo_char_1101_00_11_hca	False	True
あたし…ネコじゃないけど…	我……并不是猫……	key_aligned	new	3049	8	character_profile_or_lobby	vo_char_3049_00_08_hca	False	True
あたしに泳ぎを見て欲しいって…？	想让我看你的游泳……？	key_aligned	new	2600	12	character_profile_or_lobby	vo_char_2600_00_12_hca	False	True
あたしのアタック、@いいキレだったろ？	我的攻击，很完美对吧？	key_aligned	new	2600	44	battle_result	vo_char_2600_00_44_hca	True	True
あたしはね、何が何でも生きてみせる	我啊，无论如何都要活下去。	key_aligned	new	2006	9	character_profile_or_lobby	vo_char_2006_00_09_hca	False	True
あたしは感じたままに生きていくの！	我是凭感觉活下去的！	key_aligned	new	3018	9	character_profile_or_lobby	vo_char_3018_00_09_hca	False	True
あたしゃ曲がった事がでーっきれーなんだ！	あたしゃ曲がった事がでーっきれーなんだ！	key_aligned	new	3058	6	character_profile_or_lobby	vo_char_3058_00_06_hca	False	True
あっ、そろそろ今年の尊崇税納めなきゃ…	啊，差不多该要交今年的尊崇税了…	key_aligned	new	1109	9	character_profile_or_lobby	vo_char_1109_00_09_hca	False	True
