# 日文	中文
10連ガチャチケット	10连扭蛋券
AP回復薬	AP回复药
AP回復薬50	AP回复药50
Acceleドロー	重抽为Accele
Another Daze最終Battleで…	在Another Daze最终Battle…
BP回復薬	BP回复药
Blast ダメージDOWN	Blast伤害DOWN
Blast ダメージUP	Blast伤害UP
Blast ダメージカット	Blast伤害削减
Blast ダメージカット状態	Blast伤害削减状态
BlastダメージDOWN	Blast伤害DOWN
BlastダメージUP	Blast伤害UP
Blastダメージカット	Blast伤害削减
Blastダメージカット状態	Blast伤害削减状态
Blastドロー	重抽为Blast
Blast攻撃時MP獲得	Blast攻击时MP获得
Blast被ダメージUP	受Blast伤害UP
CCの獲得量UP	CC获得量UP
CP回復薬	CP回复药
Charge Combo時Charge数+1	Charge Combo时Charge数+1
Charge Combo時Charge数+2	Charge Combo时Charge数+2
Charge Combo時Charge数+3	Charge Combo时Charge数+3
Charge Combo時Charge数+4	Charge Combo时Charge数+4
Charge Combo時Charge数+5	Charge Combo时Charge数+5
Charge combo時Charge数+1	Charge Combo时Charge数+1
Charge combo時Charge数+2	Charge Combo时Charge数+2
Charge combo時Charge数+3	Charge Combo时Charge数+3
ChargeディスクダメージUP	Charge盘伤害UP
Chargeドロー	重抽为Charge
Charge後ダメージDOWN	Charge后伤害DOWN
Charge後ダメージUP	Charge后伤害UP
Charge後被ダメージUP	受Charge后伤害UP
Charge消費なし	Charge无消耗
GAN	[https://www.pixiv.net/member.php?id=1294530 GAN]
H2SO4	[https://www.pixiv.net/member.php?id=60263 H2SO4]
H2SO4、千里GAN	[https://www.pixiv.net/member.php?id=60263 H2SO4]、[https://w
HP 回復	回复HP
HPの低い仲間一人にHP回復	HP最低的一位同伴回复HP
HP全回復	回复全部HP
HP回復	回复HP
HP最大値までHP自動回復	自动回复HP到最大值
HP最大時攻撃力UP	HP最大时攻击力UP
HP最大時防御力UP	HP最大时防御力UP
HP自動回復	自动回复HP
Lynn、佳村はるか（あやめ：木戸衣吹）	Lynn、佳村遥（菖蒲：木户衣吹）
MP100以上時MP獲得量UP	MP100以上时MP获得量UP
MPが10%溜まった状態でバトル開始	以MP积累10%的状态开始战斗
MPが100%溜まった状態でバトル開始	以MP积累100%的状态开始战斗
MPが15%溜まった状態でバトル開始	以MP积累15%的状态开始战斗
MPが20%溜まった状態でバトル開始	以MP积累20%的状态开始战斗
MPが25%溜まった状態でバトル開始	以MP积累25%的状态开始战斗
MPが30%溜まった状態でバトル開始	以MP积累30%的状态开始战斗
MPが35%溜まった状態でバトル開始	以MP积累35%的状态开始战斗
MPが40%溜まった状態でバトル開始	以MP积累40%的状态开始战斗
MPが50%溜まった状態でバトル開始	以MP积累50%的状态开始战斗
MPダメージ	MP伤害
MP回復	回复MP
MP獲得量 DOWN	MP获得量DOWN
MP獲得量DOWN	MP获得量DOWN
MP獲得量UP	MP获得量UP
MP自動回復	自动回复MP
NOCO	[https://x.com/noco9999 NOCO]
Nardack	[https://x.com/Nardack Nardack]
PAPA	[https://x.com/papa0123 PAPA]
PAPA、劇団イヌカレー（泥犬）	PAPA、剧团狗咖喱（泥犬）
U35	[https://x.com/umiko35 U35]
action	edit
f4samurai・劇団イヌカレー（泥犬）	f4samurai、剧团狗咖喱（泥犬）
ichigo	[https://x.com/fsp2003120000 @ichigo]
mepo	[https://x.com/mepooot mepo]
nabe	[https://x.com/nabe_e16 nabe]
necömi	[https://x.com/necomi_info necömi]
saikoro	[https://x.com/saikoro78573710 saikoro]
「SUPパドル・ボード」「水鉄砲」追加獲得数	“SUP船桨”“水枪”追加获得数
「from外宇宙」追加獲得数	“from宇宙外”追加获得数
「いいね！」入手時	“赞！”获得时
「いたずら駄菓子」追加獲得数	“调皮粗点心”追加获得数
「いつかのタイムカプセル」追加獲得数	“不知何时的时间胶囊”追加获得数
「うわさのカカオポッド」追加獲得数	“谣之可可荚”追加获得数
「おはじき」追加獲得数	“玻璃弹片”追加获得数
「お姉ちゃんしつけ棒」追加獲得数	“管教姐姐棒”追加获得数
「お見合い写真」追加獲得数	“相亲照片”追加获得数
「すずねメダル」入手時	“铃音勋章”获得时
「なかよし手帳」追加獲得数	“好朋友手账本”追加获得数
「ふたりの青春」追加獲得数	“两人的青春”追加获得数
「まどかPからの連絡」追加獲得数	“小圆P的联络”追加获得数
「アクアリウムへの招待状」追加獲得数	“水族馆的邀请函”追加获得数
「アザレアの咲く場所」追加獲得数	“杜鹃花开之处”追加获得数
「アルちゃんのウォンテッドポスター」追加獲得数	“小阿鲁的通缉令”追加获得数
「キレイな川魚」追加獲得数	“漂亮的河鱼”追加获得数
「サークルリスト」追加獲得数	“社团列表”追加获得数
「ジュゥべえメダル」追加獲得数	“Juby勋章”追加获得数
「トラブルのタネ」「ほくそ笑む花」追加獲得数	“骚乱之种”“窃喜之花”追加获得数
「ハワイ行のチケット」追加獲得数	“夏威夷旅行的奖券”追加获得数
「パフェ」入手時	“帕菲”获得时
「ヒイラギの葉」追加獲得数	“柊树的叶子”追加获得数
「ピュエラケアのチラシ」追加獲得数	“Puella Care的传单”追加获得数
「フォーチュンペーパー」入手時	“幸运纸”获得时
「ブラックカード」入手時	“黑卡”获得时
「マギウスの指令書」追加獲得数	“Magius的指令书”追加获得数
「マジカルキャンディ」「マジカルコイン」追加獲得数	“魔法糖果”“魔法硬币”追加获得数
「マジカルトリプルチーズ」追加獲得数	“魔法三重奶酪”追加获得数
「メモリーピン」入手時	“记忆大头针”获得时
「ユリの香油」追加獲得数	“百合香油”追加获得数
「ラクシャーシー碑文」追加獲得数	“罗刹女碑文”追加获得数
「ランタンコイン」追加獲得数	“南瓜灯硬币”追加获得数
「ルーン“太陽”」追加獲得数	“卢恩‘太阳’”追加获得数
「レアリティースター」入手時	“稀有度之星”获得时
「一度きりの時間」追加獲得数	“只有一次的时间”追加获得数
「七夕飾り」追加獲得数	“七夕装饰”追加获得数
「乙女の秘密」追加獲得数	“少女的秘密”追加获得数
「今だけの思い出」追加獲得数	“仅限此时的回忆”追加获得数
「仮面」追加獲得数	“假面”追加获得数
「初夢祈願」追加獲得数	“初梦祈愿”追加获得数
「勝利のメダル」入手時	“胜利的勋章”获得时
「古の切なる願い」追加獲得数	“古老的恳切祈愿”追加获得数
「商店街の福引券」追加獲得数	“商店街的抽奖券”追加获得数
「喫茶リコリコの割引券」追加獲得数	“莉可莉可咖啡店的优惠券”追加获得数
「回数券」追加獲得数	“回数券”追加获得数
「夏の面影」追加獲得数	“夏之面影”追加获得数
「大凧」追加獲得数	“风筝”追加获得数
「天使のメダル」追加獲得数	“天使的勋章”追加获得数
「始まりの焚火」追加獲得数	“起始的篝火”追加获得数
「小さな羽根」追加獲得数	“小小的羽毛”追加获得数
「幸福のブーケ」追加獲得数	“幸福的花束”追加获得数
「幽霊免許」入手時	“幽灵许可证”获得时
「幽霊免許」追加獲得数	“幽灵许可证”追加获得数
「思い出メッセージ」追加獲得数	“回忆留言”追加获得数
「想いを記すもの」追加獲得数	“记述思念之物”追加获得数
「想い結ぶシュシュ」追加獲得数	“连结思念的发圈”追加获得数
「憧憬の烙印」追加獲得数	“憧憬的烙印”追加获得数
「憩いのアイス」追加獲得数	“休息的冰淇淋”追加获得数
「木の実(茶)」入手時	“树果(茶)”获得时
「木の実(青)」入手時	“树果(青)”获得时
「汗かきウサギ」追加獲得数	“流汗的兔子”追加获得数
「灯花の評価」追加獲得数	“灯花的评价”追加获得数
「王様パンプキンキャンディ」追加獲得数	“国王南瓜糖”追加获得数
「珊瑚礁」入手時	“珊瑚礁”获得时
「生徒会のメダル」追加獲得数	“学生会的勋章”追加获得数
「疑惑の写真」追加獲得数	“疑惑的写真”追加获得数
「白紙の便箋」追加獲得数	“白纸便笺”追加获得数
「竜城家伝統鏡餅」追加獲得数	“龙城家传统镜饼”追加获得数
「絡まりリボン」追加獲得数	“缠绕的缎带”追加获得数
「群印」追加獲得数	“群印”追加获得数
「聖女のメダル」入手時	“圣女的勋章”获得时
「興味のハート」追加獲得数	“兴趣之心”追加获得数
「花の香り」追加獲得数	“花香”追加获得数
「見えない意思」追加獲得数	“无形的意愿”追加获得数
「記憶のオーナメント」追加獲得数	“后悔的装饰品”追加获得数
「記憶の砂」入手時	“记忆之砂”获得时
「記憶の頁」入手時	“记忆之页”获得时
「貝殻の腕輪」「翡翠の腕輪」追加獲得数	“贝壳的手镯”“翡翠的手镯”追加获得数
「金メダル」追加獲得数	“金勋章”追加获得数
「錆びついた紋章」追加獲得数	“生锈的纹章”追加获得数
「間違いのプレゼント」追加獲得数	“错误的礼物”追加获得数
「魔法少女の記録」追加獲得数	“魔法少女的记录”追加获得数
「黒革の手帳」追加獲得数	“黑皮革手账”追加获得数
「黙示録」追加獲得数	“默示录”追加获得数
『	“
『CROSS CONNECTION』最終ボスに…	对“CROSS CONNECTION”最终Boss…
『Memorable Flower』最終ボスに…	对“Memorable Flower”最终Boss…
『Rumors in Disguise』最終ボスに…	对“Rumors in Disguise”最终Boss…
『キリサキさんの噂話』入手時	“开膛手小姐的传闻”入手时
『ディペンデンスブルー』最終ボスに…	对“Dependence Blue”最终Boss…
『喝采』『残り火』	“喝彩”“余烬”
『噂話』入手時	“传闻”入手时
『時を超えて鳴らす鐘』最終Battleで…	在“超越时空的钟声”最终Battle…
『灰色革命』最終ボスに…	对“灰色革命”最终Boss…
『秘められた馬』『目覚める闇』入手時	“隐匿的马”“觉醒的黑暗”入手时
』のアビリティを所持	”的能力持有
』を発動	”的状态
【クエストのみ】	【仅Quest】
あくま	恶魔
あすなろ市立南部中学校	翌桧市立南部中学校
あずーる	[https://x.com/azure_0608 あずーる（Azūru）]
あの日の一番を超えて	超越昔日之最
あらたまい	[https://x.com/maittingu あらたまい]
あるてぃめっと	究极
あｆろ	あｆろ<!-- 啊f洛 -->
いもあん	いもあん（Imoan）
いろはにコネクトでHP回復	和伊吕波连携时回复HP
いろはにコネクトで防御力UP	和伊吕波连携时防御力UP
おちゃう	[https://www.pixiv.net/member.php?id=275151 おちゃう（Ochau）]<!--
お年玉	压岁钱
お悩みメール入手時	咨询信件获得时
かずみ	和美
かにぱんだ	[https://x.com/kanipanda かにぱんだ（Kanipanda）]
かんざきひろ	[https://x.com/kanzakihiro 神崎广（Kanzakihiro）]
がおう	[https://x.com/umaiyo_puyoman gaou]
くらは	くらは（Kuraha）<!-- 鞍叶 -->
くろにゃん	くろにゃん（Kuronyan）
こざくら	こざくら（Kozakura）<!-- 小仓 -->
こるり	[https://x.com/ko_ru_ri こるり（Koruri）]
さくら小春(QP:flapper)	[https://x.com/pimopimo SAKURA小春]（[http://qp.banbi.net/ QP:f
さくら小春（QP:flapper）	[https://x.com/pimopimo SAKURA小春]（[http://qp.banbi.net/ QP:f
さらにBlast ダメージDOWN	Blast伤害进一步DOWN
さらにマギアダメージDOWN	Magia伤害进一步DOWN
さらに光属性耐性DOWN	光属性耐性进一步DOWN
さらに必ず呪い	再次必定诅咒
さらに攻撃力DOWN	攻击力进一步DOWN
さらに火属性耐性DOWN	火属性耐性进一步DOWN
さらに防御力DOWN	防御力进一步DOWN
たかはし智秋	高桥智秋
ちょこ庵	[https://www.pixiv.net/member.php?id=5955130 ちょこ庵]
ともひと	ともひと（Tomohito）<!-- 友一 -->
なかじまゆか	[https://x.com/yuka_nakajima なかじまゆか]
ひかりふる	圣光降临
ふてね	ふてね（Futene）
ふゆの春秋	[https://www.pixiv.net/member.php?id=717043 冬野春秋]
ぷにゃん	ぷにゃん（Punyan）<!-- 噗喵 -->
ほわほわ少女頑張る！～待って、それ誤解です！	呆萌少女要加油！～等等，那是误会！～
まだダメよ	还不行呢
みやま零	[https://x.com/miyama0 美山零]
むげんだい	无限大
やけど	烧伤
やけど無効	烧伤无效
やちよにコネクトでMP回復	和八千代连携时回复MP
ゆーげん	[https://www.pixiv.net/member.php?id=806502 ゆーげん（Yūgen）]<!--
よー清水	[https://x.com/you629 YOO清水]
らぐほのえりか	[https://www.pixiv.net/users/101500 らぐほのえりか（Ragho no Erika）]
を発動	的状态
アクアオーブ	-
アクアオーブ+	-
アクアオーブ++	-
アクアジェム	水宝石
アクアジェム+	水宝石+
アクアジェム++	水宝石++
アクアブック	-
アクアブック+	-
アクアブック++	-
アクセルダメージカット	Accele伤害削减
アタック	攻击
アビリティは解除不可	不可解除能力
アマネシキ	アマネシキ（Amane Shiki）<!-- 天音四季 -->
アリナが街にやってくる ～ホワイト・クリスマス・ラプソディ～	阿莉娜进城来 ～白色圣诞狂想曲～
イキガミの毛玉	生神的毛球
イキガミの水瓶	生神的水瓶
イノセント・ジェムの欠片	纯真宝石的碎片
インフィニット	无限
エクシード	极限
エピソードレベル	篇章等级
オウルのバケツ	猫头鹰的桶
オーブ	宝玉<!-- 通用图标 -->
オーブ+	宝玉+<!-- 通用图标 -->
オーブ++	宝玉++<!-- 通用图标 -->
カウンター無効	反击无效
カラフル	Colorful
カレンダー入手時	日历表获得时
カースチップ	诅咒晶片（CC）
カースチップ(CC)の獲得量UP	CC获得量UP
カード入手時	贺卡获得时
ガチャチケット	扭蛋券
キュレーターのフード	馆长的风帽
クエストでのDROP分、サポート装備分は適用されません	于Quest中掉落者，以及支援装备者不适用
クエスト開始時に	战斗开始时获得
クエスト開始時にHP自動回復	战斗开始时获得HP自动回复
クエスト開始時にMP自動回復	战斗开始时获得MP自动回复
クエスト開始時に『	战斗开始时获得“
クエスト開始時に『防御力UP	战斗开始时获得“防御力UP
クマのボルト	熊的螺栓
クマの襟巻	熊的围巾
クリア・アルバム	纯净相册
クリティカル	暴击
クリティカル無効1回	暴击无效1回
クリティカル無効×1回	暴击无效×1回
クリティカル無効×2回	暴击无效×2回
ゴムのフラッグ	橡胶旗子
ゴムの浮き輪	橡胶泳圈
サクマミツロ	[https://x.com/sakuma_mi サクマミツロ（Sakuma Mitsuro）]
ササギコウシ	[https://x.com/kohshi_sasagi ササギコウシ（Sasagi Koushi）]<!-- 佐佐木光
ササギコウシ・ふてね	[https://x.com/kohshi_sasagi ササギコウシ（Sasagi Koushi）]、ふてね（Fute
サポート	辅助
サポートPt	支援Pt
サンタのひげ	圣诞胡子
サヴァイブ	Survive
サヴァイヴ	Survive
シソ	[https://x.com/si_soo シソ（Shiso）]
シャフト	[http://www.shaft-web.co.jp Shaft]
スキルクイック	技能冷却加速
スキル不可	技能封印
スキル不可無効	技能封印无效
スタッフのキースイッチ	职员的开关钥匙
スタン	眩晕
スタン無効	眩晕无效
スピーカーのベル	扬声器的喇叭
スミカワ	スミカワ（Sumikawa）
セブン・アークス・ピクチャーズ	[http://www.7arcs.co.jp/company/ SEVEN ARCS PICTURES]
タルト	塔鲁特
ターゲット生存時に必ず追撃	目标生存时必定追击
ダメージUP	伤害UP
ダメージアップ	伤害上升
ダメージアップ状態	伤害上升状态
ダメージカット	伤害削减
ダメージカット無視	无视伤害削减
ダメージカット状態	伤害削减状态
ダリク	[https://x.com/uedrk_yamato ダリク（Dariku）]
ダークオーブ	-
ダークオーブ+	-
ダークオーブ++	-
ダークジェム	暗宝石
ダークジェム+	暗宝石+
ダークジェム++	暗宝石++
ダークブック	-
ダークブック+	-
ダークブック++	-
チャーム無効	魅惑无效
ディフェンス	防御
デイリーコイン	日常币
デスティニークリスタル	命运水晶
デスティニーボトル	命运瓶子
デバフを1回無効	Debuff1回无效
デバフを2回無効	Debuff2回无效
デバフを3回無効	Debuff3回无效
デバフ効果を1回反射	Debuff效果反射1回
デバフ効果を1回無効	Debuff效果1回无效
デバフ効果を2回反射	Debuff效果反射2回
デバフ効果を2回無効	Debuff效果2回无效
デバフ効果を3回無効	Debuff效果3回无效
デバフ効果を延長	Debuff效果延长
デバフ効果・状態異常を1回無効	Debuff效果·状态异常1回无效
デバフ効果・状態異常を2回無効	Debuff效果·状态异常2回无效
デバフ解除	Debuff解除
ドッペル	魔女化身
ドッペルダメージUP	Doppel伤害UP
ドリンク入手時	饮料获得时
ニャン☆ぷぅ	ニャン☆ぷぅ（NYAN☆Puu）<!-- 喵☆噗 -->
ニリツ	[https://x.com/Ann_NH ニリツ（Niritsu）]
ネオマギウス	Neo-Magius
ハノカゲ	[https://www.pixiv.net/member.php?id=49138 叶之影（Hanokage）]<!-
バフ効果を延長	Buff效果延长
バフ解除	Buff解除
バランス	均衡
バリア(10000)を付与	给与屏障(10000)
バリア(12000)を付与	给与屏障(12000)
バリア(15000)を付与	给与屏障(15000)
バリア(20000)を付与	给与屏障(20000)
バリア(3000)を付与	给予屏障(3000)
バリア(5000)を付与	给与屏障(5000)
バリア(7000)を付与	给与屏障(7000)
バリア(8000)を付与	给与屏障(8000)
パワージェム	力量宝石
ヒゲ	[https://x.com/higejam3 ヒゲ（Hige）]
ヒール	治疗
ビッグフェリスのタービン	大摩天轮的涡轮
ファイルーズあい	菲鲁兹·蓝
ファルまろ ＝ [https://www.pixiv.net/member.php?id	1218472 ファルまろ（fal_maro）]
フォレストオーブ	-
フォレストオーブ+	-
フォレストオーブ++	-
フォレストジェム	木宝石
フォレストジェム+	木宝石+
フォレストジェム++	木宝石++
フォレストブック	-
フォレストブック+	-
フォレストブック++	-
フレイムオーブ	-
フレイムオーブ+	-
フレイムオーブ++	-
フレイムジェム	火宝石
フレイムジェム+	火宝石+
フレイムジェム++	火宝石++
フレイムブック	-
フレイムブック+	-
フレイムブック++	-
ブック	书<!-- 通用图标 -->
ブック+	书+<!-- 通用图标 -->
ブック++	书++<!-- 通用图标 -->
プロテクトジェム	保护宝石
マギア	Magia
マギアダメージ	Magia伤害
マギアダメージDOWN	Magia伤害DOWN
マギアダメージUP	Magia伤害UP
マギアダメージカット	Magia伤害削减
マギアダメージカット状態	Magia伤害削减状态
マギアチップ	魔法碎片
マギアレコード	魔法纪录
マギア不可	Magia封印
マギア不可無効	Magia封印无效
マシマサキ	[https://www.pixiv.net/member.php?id=18403608 マシマサキ（Mashimas
マシマサキ、さくら小春（QP:flapper）	[https://www.pixiv.net/member.php?id=18403608 マシマサキ（Mashimas
マスコットのタテガミ	吉祥物的鬃毛
マスタジェム	全能宝石
マスタジェム+	全能宝石+
マスタジェム++	全能宝石++
マスタージェム	全能宝石
マスタージェム+	全能宝石+
マスタージェム++	全能宝石++
マチビト馬の車輪	待人马的车轮
ミスティック	神秘
ミラーズ	镜界
ミラーズコイン	-
ムラ黒江	[https://x.com/toyphel_mc 村黑江]
メダル入手時	奖牌获得时
メリッサの錬金薬	梅丽莎的炼金药
メリッサの髪飾り	梅丽莎的发饰
メールのグライダー	邮件的滑翔机
ヤスダスズヒト	[https://x.com/suzupin 安田典生]
ユメおと	梦音
ライトオーブ	-
ライトオーブ+	-
ライトオーブ++	-
ライトジェム	光宝石
ライトジェム+	光宝石+
ライトジェム++	光宝石++
ライトブック	-
ライトブック+	-
ライトブック++	-
ライフジェム	生命宝石
ランダム2回　ダメージ	随机2次 伤害
ランダム3回　ダメージ	随机3次 伤害
ランダム4回 ダメージ	随机4次 伤害
ランダム4回　ダメージ	随机4次 伤害
ランダム4回　属性強化ダメージ	随机4次 属性强化伤害
ランダム5回 ダメージ	随机5次 伤害
ランダム5回　ダメージ	随机5次 伤害
ランダム5回　属性強化ダメージ	随机5次 属性强化伤害
リュトンのリボン	角杯的缎带
リン☆ユウ	[https://www.pixiv.net/member.php?id=4754550 リン☆ユウ（Rin☆Yuu）]
リース入手時	花环获得时
レインボーオーブ	-
ワルプルギスの夜	魔女之夜
ヴァリアブル	Variable
一十九二	一十九二<!-- Hitokuni -->
七森龍	[https://x.com/NanamoriRyo 七森龙]
七海やちよ	七海八千代
七瀬彩夏	七濑彩夏
七草入手時	七草入手时
三栗あやめ	三栗菖蒲
三森すずこ	三森铃子
三色のビー玉	三色玻璃球
三芳良	三芳良<!-- Miyoshi Ryō -->
上坂すみれ	上坂堇
上田麗奈	上田丽奈
与えるダメージ	造成伤害
与えるダメージDOWN	造成伤害DOWN
与えるダメージUP	造成伤害UP
与えるダメージ・防御力・状態異常耐性DOWN	造成伤害·防御力·状态异常耐性DOWN
丸岡和佳奈	丸冈和佳奈
丹下桜	丹下樱
二葉さな	二叶莎奈
五十鈴れん	五十铃怜
井澤詩織	井泽诗织
亜里紗のキャンディ	亚里纱的糖果
亜里紗のリボン	亚里纱的缎带
人工知能のコード	人工智能的代码
仲間戦闘不能時攻撃力・防御力UP	同伴战斗不能时攻击力、防御力UP
伊吹れいら	伊吹丽良
伊坂わさび	[https://x.com/f_isaka248 伊坂山葵]
伊瀬茉莉也	伊濑茉莉也
伊藤かな恵	伊藤加奈惠
伊藤かな恵、尾崎由香	伊藤加奈惠、尾崎由香
低HPほど威力UP	随HP降低而威力UP
佐倉綾音	佐仓绫音
佳村はるか	佳村遥
偏愛の欠片	偏爱的碎片
働きグマのウワサ	工熊之谣
光属性ダメージカット	光属性伤害削减
光属性ダメージカット状態	光属性伤害削减状态
光属性攻撃力UP	光属性攻击力UP
兎塚エイジ	[https://x.com/usatsukaeiji 兔塚英志]<!-- Usatsuka Eiji-->
全ディスク効果DOWN	全Disk效果DOWN
全ディスク効果UP	全Disk效果UP
八重樫南	[https://www.pixiv.net/member.php?id=139994 八重樫南]<!--Yae Gas
八雲みたま	八云御魂
円環サポート	圆环辅助
円環マギア	圆环Magia
再度Discを引く	再次抽取Disc
冷蝉	[https://weibo.com/p/1005052105673702 冷蝉]
凪良	[http://www.sec.or.tv/ 凪良]<!-- Nagi Ryou -->
劇団イヌカレー	[https://x.com/gekidaninucurry 剧团狗咖喱]<!-- 剧团犬咖喱 -->
劇団イヌカレー（泥犬）	[https://x.com/gekidaninucurry 剧团狗咖喱（泥犬）]
加賀見まさら	加贺见真良
加隈亜衣	加隈亚衣
勝利のメダル入手時	胜利的勋章获得时
匈歌ハトリ	[https://www.pixiv.net/member.php?id=9200 匈歌ハトリ]<!-- Kyouka
十咎ももこ	十咎桃子
千歳ゆま	千岁由麻
千里GAN	[https://www.pixiv.net/member.php?id=1294530 千里GAN]
南京錠の鎖	挂锁的链条
南條愛乃	南条爱乃
原案・監修：劇団イヌカレー（泥犬）	原案·监修：剧团狗咖喱（泥犬）
原案：f4samurai　　監修：劇団イヌカレー（泥犬）	原案：f4samurai　　监修：剧团狗咖喱（泥犬）
原画：月浦まり 監修：杉山延寛	原画：月浦茉莉 監修：杉山延宽
古賀葵	古贺葵
同じ属性ドロー	重抽为同属性
