charaNo	messageId	ja	zhCN	cn_keys	confidence	reason	evidence_occurrences	jp_record_paths
1001	6	それを人は…絆って言うのかな	那就是……人与人之间的羁绊吗……	"[""vo_char_1001_00_06_hca""]"	key_aligned	unique_charaNo_messageId_key_and_unique_cn_value	8	"[""12/response_body/userCharaList/0/chara/charaMessageList/0"",""19/response_body/userCharaList/0/chara/charaMessageList/0"",""31/response_body/userCharaList/0/chara/charaMessageList/0"",""44/response_body/userCharaList/0/chara/charaMessageList/0"",""61/response_body/userCharaList/0/chara/charaMessageList/0"",""73/response_body/userCharaList/0/chara/charaMessageList/0"",""89/response_body/userCharaList/3/chara/charaMessageList/0"",""107/response_body/userCharaList/3/chara/charaMessageList/0""]"
1001	7	みんなで外食なんて…いつぶりだろう？	大家一起聚餐……有多久没这样了呢？	"[""vo_char_1001_00_07_hca""]"	key_aligned	unique_charaNo_messageId_key_and_unique_cn_value	8	"[""12/response_body/userCharaList/0/chara/charaMessageList/1"",""19/response_body/userCharaList/0/chara/charaMessageList/1"",""31/response_body/userCharaList/0/chara/charaMessageList/1"",""44/response_body/userCharaList/0/chara/charaMessageList/1"",""61/response_body/userCharaList/0/chara/charaMessageList/1"",""73/response_body/userCharaList/0/chara/charaMessageList/1"",""89/response_body/userCharaList/3/chara/charaMessageList/1"",""107/response_body/userCharaList/3/chara/charaMessageList/1""]"
1001	8	嫌われるのが怖くて…自分に嘘をついた	"因为害怕被别人讨厌……
就违背了自己的内心……"	"[""vo_char_1001_00_08_hca""]"	key_aligned	unique_charaNo_messageId_key_and_unique_cn_value	8	"[""12/response_body/userCharaList/0/chara/charaMessageList/2"",""19/response_body/userCharaList/0/chara/charaMessageList/2"",""31/response_body/userCharaList/0/chara/charaMessageList/2"",""44/response_body/userCharaList/0/chara/charaMessageList/2"",""61/response_body/userCharaList/0/chara/charaMessageList/2"",""73/response_body/userCharaList/0/chara/charaMessageList/2"",""89/response_body/userCharaList/3/chara/charaMessageList/2"",""107/response_body/userCharaList/3/chara/charaMessageList/2""]"
1001	9	お帰りなさい。待ってたよ	欢迎回来。我一直在等着哦！	"[""vo_char_1001_00_09_hca""]"	key_aligned	unique_charaNo_messageId_key_and_unique_cn_value	8	"[""12/response_body/userCharaList/0/chara/charaMessageList/3"",""19/response_body/userCharaList/0/chara/charaMessageList/3"",""31/response_body/userCharaList/0/chara/charaMessageList/3"",""44/response_body/userCharaList/0/chara/charaMessageList/3"",""61/response_body/userCharaList/0/chara/charaMessageList/3"",""73/response_body/userCharaList/0/chara/charaMessageList/3"",""89/response_body/userCharaList/3/chara/charaMessageList/3"",""107/response_body/userCharaList/3/chara/charaMessageList/3""]"
1001	10	大切だからっ…！本音でぶつかるんだよ！	"正因为是重要的人…！
所以才要说真心话啊！"	"[""vo_char_1001_00_10_hca""]"	key_aligned	unique_charaNo_messageId_key_and_unique_cn_value	8	"[""12/response_body/userCharaList/0/chara/charaMessageList/4"",""19/response_body/userCharaList/0/chara/charaMessageList/4"",""31/response_body/userCharaList/0/chara/charaMessageList/4"",""44/response_body/userCharaList/0/chara/charaMessageList/4"",""61/response_body/userCharaList/0/chara/charaMessageList/4"",""73/response_body/userCharaList/0/chara/charaMessageList/4"",""89/response_body/userCharaList/3/chara/charaMessageList/4"",""107/response_body/userCharaList/3/chara/charaMessageList/4""]"
1001	11	ごめんね…お姉ちゃん、本当は…	对不起……姐姐我，其实……	"[""vo_char_1001_00_11_hca""]"	key_aligned	unique_charaNo_messageId_key_and_unique_cn_value	8	"[""12/response_body/userCharaList/0/chara/charaMessageList/5"",""19/response_body/userCharaList/0/chara/charaMessageList/5"",""31/response_body/userCharaList/0/chara/charaMessageList/5"",""44/response_body/userCharaList/0/chara/charaMessageList/5"",""61/response_body/userCharaList/0/chara/charaMessageList/5"",""73/response_body/userCharaList/0/chara/charaMessageList/5"",""89/response_body/userCharaList/3/chara/charaMessageList/5"",""107/response_body/userCharaList/3/chara/charaMessageList/5""]"
1001	12	ちょっぴり苦い…思い出の料理です	"这是略带苦涩……
却又充满回忆的料理。"	"[""vo_char_1001_00_12_hca""]"	key_aligned	unique_charaNo_messageId_key_and_unique_cn_value	8	"[""12/response_body/userCharaList/0/chara/charaMessageList/6"",""19/response_body/userCharaList/0/chara/charaMessageList/6"",""31/response_body/userCharaList/0/chara/charaMessageList/6"",""44/response_body/userCharaList/0/chara/charaMessageList/6"",""61/response_body/userCharaList/0/chara/charaMessageList/6"",""73/response_body/userCharaList/0/chara/charaMessageList/6"",""89/response_body/userCharaList/3/chara/charaMessageList/6"",""107/response_body/userCharaList/3/chara/charaMessageList/6""]"
1001	43	諦めなくって良かった…！	还好没放弃……！	"[""vo_char_1001_00_43_hca""]"	key_aligned	unique_charaNo_messageId_key_and_unique_cn_value	8	"[""12/response_body/userCharaList/0/chara/charaMessageList/7"",""19/response_body/userCharaList/0/chara/charaMessageList/7"",""31/response_body/userCharaList/0/chara/charaMessageList/7"",""44/response_body/userCharaList/0/chara/charaMessageList/7"",""61/response_body/userCharaList/0/chara/charaMessageList/7"",""73/response_body/userCharaList/0/chara/charaMessageList/7"",""89/response_body/userCharaList/3/chara/charaMessageList/7"",""107/response_body/userCharaList/3/chara/charaMessageList/7""]"
1001	44	大丈夫って…信じてたから	没问题的……我相信！	"[""vo_char_1001_00_44_hca""]"	key_aligned	unique_charaNo_messageId_key_and_unique_cn_value	8	"[""12/response_body/userCharaList/0/chara/charaMessageList/8"",""19/response_body/userCharaList/0/chara/charaMessageList/8"",""31/response_body/userCharaList/0/chara/charaMessageList/8"",""44/response_body/userCharaList/0/chara/charaMessageList/8"",""61/response_body/userCharaList/0/chara/charaMessageList/8"",""73/response_body/userCharaList/0/chara/charaMessageList/8"",""89/response_body/userCharaList/3/chara/charaMessageList/8"",""107/response_body/userCharaList/3/chara/charaMessageList/8""]"
1001	45	お姉ちゃん、勝ったよ	姐姐赢了哦！	"[""vo_char_1001_00_45_hca""]"	key_aligned	unique_charaNo_messageId_key_and_unique_cn_value	8	"[""12/response_body/userCharaList/0/chara/charaMessageList/9"",""19/response_body/userCharaList/0/chara/charaMessageList/9"",""31/response_body/userCharaList/0/chara/charaMessageList/9"",""44/response_body/userCharaList/0/chara/charaMessageList/9"",""61/response_body/userCharaList/0/chara/charaMessageList/9"",""73/response_body/userCharaList/0/chara/charaMessageList/9"",""89/response_body/userCharaList/3/chara/charaMessageList/9"",""107/response_body/userCharaList/3/chara/charaMessageList/9""]"
